,colummn
1640,birds
1641,animals
1642,fallen
1643,duck
1644,dodo
1645,lory
1646,eaglet
1647,several
1648,curious
1649,creatures
1650,alice
1651,led
1652,way
1653,whole
1654,party
1655,swam
1656,shore
1657,pg
1658,14
1659,iii
1660,caucus
1661,race
1662,long
1663,tale
1664,indeed
1665,queer
1666,looking
1667,party
1668,assembled
1669,bank
1670,birds
1671,draggled
1672,feathers
1673,animals
1674,fur
1675,clinging
1676,close
1677,dripping
1678,wet
1679,cross
1680,uncomfortable
1681,first
1682,question
1683,course
1684,get
1685,dry
1686,consultation
1687,minutes
1688,seemed
1689,quite
1690,natural
1691,alice
1692,find
1693,talking
1694,familiarly
1695,known
1696,life
1697,last
1698,mouse
1699,seemed
1700,person
1701,pg
1702,15
1703,authority
1704,among
1705,called
1706,sit
1707,listen
1708,soon
1709,make
1710,dry
1711,enough
1712,sat
1713,large
1714,ring
1715,mouse
1716,middle
1717,ahem
1718,said
1719,mouse
1720,important
1721,air
1722,ready
1723,driest
1724,thing
1725,know
1726,silence
1727,round
1728,please
1729,william
1730,conqueror
1731,whose
1732,cause
1733,favored
1734,pope
1735,soon
1736,submitted
1737,english
1738,wanted
1739,leaders
1740,late
1741,much
1742,accustomed
1743,usurpation
1744,conquest
1745,edwin
1746,morcar
1747,earls
1748,mercia
1749,northumbria
1750,ugh
1751,said
1752,lory
1753,shiver
1754,even
1755,stigand
1756,patriotic
1757,archbishop
1758,canterbury
1759,found
1760,advisable
1761,found
1762,said
1763,duck
1764,found
1765,mouse
1766,replied
1767,rather
1768,crossly
1769,course
1770,know
1771,means
1772,know
1773,means
1774,well
1775,enough
1776,find
1777,thing
1778,said
1779,duck
1780,generally
1781,frog
1782,worm
1783,question
1784,archbishop
1785,find
1786,mouse
1787,notice
1788,question
1789,hurriedly
1790,went
1791,found
1792,advisable
1793,go
1794,edgar
1795,atheling
1796,meet
1797,william
1798,offer
1799,crown
1800,getting
1801,dear
1802,continued
1803,turning
1804,alice
1805,spoke
1806,wet
1807,ever
1808,said
1809,alice
1810,melancholy
1811,tone
1812,seem
1813,dry
1814,case
1815,said
1816,dodo
1817,solemnly
1818,rising
1819,feet
1820,move
1821,meeting
1822,adjourn
1823,immediate
1824,adoption
1825,energetic
1826,remedies
1827,pg
1828,16
1829,speak
1830,english
1831,said
1832,eaglet
1833,know
1834,meaning
1835,half
1836,long
1837,words
1838,believe
1839,either
1840,going
1841,say
1842,said
1843,dodo
1844,offended
1845,tone
1846,best
1847,thing
1848,get
1849,us
1850,dry
1851,would
1852,caucus
1853,race
1854,caucus
1855,race
1856,said
1857,alice
1858,said
1859,dodo
1860,best
1861,way
1862,explain
1863,first
1864,marked
1865,race
1866,course
1867,sort
1868,circle
1869,party
1870,placed
1871,along
1872,course
1873,one
1874,two
1875,three
1876,away
1877,began
1878,running
1879,liked
1880,left
1881,liked
1882,easy
1883,know
1884,race
1885,however
1886,running
1887,half
1888,hour
1889,quite
1890,dry
1891,dodo
1892,suddenly
1893,called
1894,race
1895,crowded
1896,round
1897,panting
1898,asking
1899,pg
1900,17
1901,question
1902,dodo
1903,could
1904,answer
1905,without
1906,great
1907,deal
1908,thought
1909,last
1910,said
1911,everybody
1912,must
1913,prizes
1914,give
1915,prizes
1916,quite
1917,chorus
1918,voices
1919,asked
1920,course
1921,said
1922,dodo
1923,pointing
1924,alice
1925,one
1926,finger
1927,whole
1928,party
1929,crowded
1930,round
1931,calling
1932,confused
1933,way
1934,prizes
1935,prizes
1936,alice
1937,idea
1938,despair
1939,put
1940,hand
1941,pocket
1942,pulled
1943,box
1944,comfits
1945,luckily
1946,salt
1947,water
1948,got
1949,handed
1950,round
1951,prizes
1952,exactly
1953,one
1954,piece
1955,round
1956,next
1957,thing
1958,eat
1959,comfits
1960,caused
1961,noise
1962,confusion
1963,large
1964,birds
1965,complained
1966,could
1967,taste
1968,small
1969,ones
1970,choked
1971,patted
1972,back
1973,however
1974,last
1975,sat
1976,ring
1977,begged
1978,mouse
1979,tell
1980,something
1981,promised
1982,tell
1983,history
1984,know
1985,said
1986,alice
1987,hate
1988,c
1989,added
1990,whisper
1991,half
1992,afraid
1993,would
1994,offended
1995,mine
1996,long
1997,sad
1998,tale
1999,said
2000,mouse
2001,turning
2002,alice
2003,sighing
2004,long
2005,tail
2006,certainly
2007,said
2008,alice
2009,looking
2010,wonder
2011,mouse
2012,tail
2013,call
2014,sad
2015,kept
2016,puzzling
2017,mouse
2018,speaking
2019,idea
2020,tale
2021,something
2022,like
2023,pg
2024,18
2025,fury
2026,said
2027,mouse
2028,met
2029,house
2030,let
2031,us
2032,go
2033,law
2034,prosecute
2035,come
2036,take
2037,denial
2038,must
2039,trial
2040,really
2041,morning
2042,nothing
2043,said
2044,mouse
2045,cur
2046,trial
2047,dear
2048,sir
2049,jury
2050,judge
2051,would
2052,wasting
2053,breath
2054,judge
2055,jury
2056,said
2057,cunning
2058,old
2059,fury
2060,try
2061,whole
2062,cause
2063,condemn
2064,death
2065,pg
2066,19
2067,attending
2068,said
2069,mouse
2070,alice
2071,severely
2072,thinking
2073,beg
2074,pardon
2075,said
2076,alice
2077,humbly
2078,got
2079,fifth
2080,bend
2081,think
2082,insult
2083,talking
2084,nonsense
2085,said
2086,mouse
2087,getting
2088,walking
2089,away
2090,please
2091,come
2092,back
2093,finish
2094,story
2095,alice
2096,called
2097,others
2098,joined
2099,chorus
2100,yes
2101,please
2102,mouse
2103,shook
2104,head
2105,impatiently
2106,walked
2107,little
2108,quicker
2109,wish
2110,dinah
2111,cat
2112,said
2113,alice
2114,caused
2115,remarkable
2116,sensation
2117,among
2118,party
2119,birds
2120,hurried
2121,canary
2122,called
2123,trembling
2124,voice
2125,children
2126,come
2127,away
2128,dears
2129,high
2130,time
2131,bed
2132,various
2133,pretexts
2134,moved
2135,alice
2136,soon
2137,left
2138,alone
2139,wish
2140,mentioned
2141,dinah
2142,nobody
2143,seems
2144,like
2145,sure
2146,best
2147,cat
2148,world
2149,poor
2150,alice
2151,began
2152,cry
2153,felt
2154,lonely
2155,low
2156,spirited
2157,little
2158,however
2159,heard
2160,little
2161,pattering
2162,footsteps
2163,distance
2164,looked
2165,eagerly
2166,pg
2167,20
2168,iv
2169,rabbit
2170,sends
2171,little
2172,bill
2173,white
2174,rabbit
2175,trotting
2176,slowly
2177,back
2178,looking
2179,anxiously
2180,went
2181,lost
2182,something
2183,alice
2184,heard
2185,muttering
